		lágyszárúaknál és fáknál				többnyire lágyszárúaknál			csak fáknál				hasonló növény										
Bársonyos tüdőfű	Pulmonaria mollis	bog	lándzsás	ép	tőálló	5 tagú	lila	szögletes				Virágai antociánokat tartalmaznak, ez az oka a színváltozásnak: a szirmok színe rózsaszíntől sötét kékesliláig terjed. 15-35 cm magasra megnövő, gyöktörzses évelő. Négy élű szárát és leveleit is finom szőrzet borítja. Levelei nyelesek, tojásdadok vagy lándzsásak, szélük ép. Nincsenek fehér foltok, mint a pettyegetett tüdőfűnél. Virágai a szár végén  bogernyőben nyílnak. Színük rózsaszín és kékeslila között változik. Termése  makkocska. Száraz talajú tölgyesekben virágzik áprilisban.											
Békalen	Linum catharticum	forgó	tojásdad	ép	ülő	5 tagú	fehér	hengeres				Régen sok helyen termesztettek lent, mivel ebből finom szövetű vásznat szőttek, melyből ruhák, használati tárgyak készültek. Mára a lentermesztés megszűnt, de néhány vad fajjal még találkozhatunk. Apró termetű, a Linum nemzetség többi tagjához képest kevésbé feltűnő növényke. Keskeny lándzsás levelei keresztben átellenes állásúak, szegfűfélékhez hasonlóan. A kicsi, nagyjából egy cm átmérőjű virágok fehérek, a tojásdad szirmok töve sárga színű. Termése tok. Üde gyepek, láp- és mocsárrétek virága, mely május-júniusban nyílik.											
Beléndek	Hyoscyamus niger	kunkor	hasogatott	ép	nyeles	forrt	barna	hengeres				A burgonyafélék családjának tagjait mindenki ismeri a kiskertből, hiszen idetartozik a burgonya, paradicsom, paprika.. A család fontos jellemzője, hogy mérgező anyagokat, pl. szolanint tartalmaznak az ide tartozó növények. Virágzáskor feltűnő szépségű növény, de nem árt vele vigyázni, mert mérgező: hioszciamint (latin nevében is szerepel), és atropint tartalmaz. Szára dúsan leveles, a levelek finoman szőrösek, megdörzsölve átható, kellemetlen szagot árasztanak. Virágai alapján minden kétséget kizárólag fel lehet ismerni: a forrt pártájú, tölcsér alakú, öt szirmú virágok sárgás vagy krémszínű alapon sötétliláén erezettek, közepükön sötét ibolyáslila folttal. Porzói sötétlila színűek, fehér sávokkal. A virágzat szintén jellegzetes, jól kivehető kunkor. Toktermése van. Valaha igen gyakori volt, szántóföldi gyomtársulásokban, de a növényvédő szerek használata miatt ma már ritkábban találkozunk vele.											
Bérci here	Trifolium alpestre	fejecske	összetett	ép	nyeles	pillangós	bíbor	hengeres				A here nemzetség tagjai között találunk olyanokat, amiknek virága bors nagyságú (apró here), és egész nagy méretűeket (vörös here). A virágok színe szintén változatosak: fehér, bíbor, lila, rózsaszín vagy sárga színűek. Felálló szára hengeres, finoman szőrös. Nem ágazik el. A levelek, mint a nemzetség többi tagjának, hármasan összetettek. A levélkék keskeny lándzsa alakúak, ép szélűek, rövid nyelűek. A levélnyél és a szár találkozásánál zöldes, vöröses csíkozott buroklevél látható. A levélér halványabb, sárgás színű. Minden szár csúcsán egy vagy két tömött fejecske virágzat nyílik. A keskeny vitorlájú virágok élénk színűek, bíbor rózsaszínűek. A vöröses színű, keskeny ár alakú csészelevelek pelyhesek. A virágzat alatt szíintén látható a zöldes, csíkozott buroklevél. Termése hüvely. Május-júniusban virágzik hegyi réteken, erdei utak szélés.											
Bérci mirigylapu	Homogyne alpina	magányos	vese	fogas	nyeles	fészek	rózsaszín	hengeres				Bár néhol nevezik hegyi martilapunak, és levelei is hasonló, mégsem ebbe a genusba tartozik:Hazánkban nem él a nemzetség egyetlen képviselője sem. Megjelenésében sokkal inkább acsalapura hasonlít. Levelei is a martilapuhoz és acsalapuhoz hasonló módon, a virágzás végén jelennek meg, és csak elvirágzás után, nyáron érik végleges méretüket. A lapított vese alakú vagy majdnem kerek levelek széle fűrészes-fogas. A száron legfeljebb néhány pikkelyszerű levél látható. A virágzat fészek, mely az acsalapukkal ellentétben magányos. A csöves virágok halvány bíbor vagy rózsaszínűek, fehérek. A termés szőrbóbitás kaszat. Magashegységi növény, fenyvesek, hegyi rétek, útszélek faja, mely májusban virít. Hazánkban nem él.											
Bérci rózsa	Rosa pendulina	magányos	szárnyalt	fűrészes	nyeles	5 tagú	bíbor					Mint neve is mutatja igazi hegyvidéki rózsafaj, mely tüskétlen hajtásai miatt alapvetően különbözik nemzetségének hazai képviselőitől. Hazánkban alhavasi maradványfajként tartják számon, főleg az Északi-középhegység bükköseiben, szurdokerdőiben találkozhatunk vele. Összetett levelei +-10 tojásdad alakú, fűrészes szélű levélkéből állnak. Illatos virágai rendszerint magányosan állnak, erős rózsaszín - bordó színűek. Csipkebogyó áltermésének felülete mirigyes.											
Berki aggófű	Senecio nemorensis	bog	lándzsás	ép	ülő	fészek	sárga	hengeres				Magyarországon több faja is él az aggófű nemzetségnek. A berki aggófű, és alfaja, a kárpáti aggófű a ritkábbak közé tartoznak. Hengeres szára mintegy 60-100 cm magasra nő meg. Szórt állású levelei dúsan borítják a szárat. Széles lándzsás alakúak, durván fűrészes szélűek, a felsők valamivel keskenyebbek. A fészkes virágok csöves és kevés számú nyelves virágból tevődnek össze, lapos bogas-sátorozó virágzatot alkotnak, élénksárga színűek. Termése kaszat. Üde erdők (bükkös, gyertyános-tölgyes), erdőszélek, patakparti magaskórós társulások virága.											
Berki bojtorján	Arctium nemorosum	magányos	tojásdad	fogas	nyeles	fészek	bíbor	hengeres				Több bojtorján faj is él Hazánkban. Gyógynövények. Ez a növény ihlette meg George de Mestral, a tépőzár feltalálóját. Nagy termetű, elágazó hajtású növény. Széles tojásdad leveleinek válla lekerekített vagy szíves. A levelek ép vagy enyhén fogas szélűek, a levéllemez lehet hullámos. A levél és a szár finoman fehéren molyhos lehet. Gömb alakú, bíbor színű fészekvirágzatait csöves virágok alkotják, és horgas tüskékkel ""felszerelt"" fészekpikkelyek veszik körbe, amik minden beleakadnak. Termése kaszat.											
Berki szellőrózsa	Anemone nemorosa	magányos	összetett	fűrészes	nyeles	5 tagú	fehér	hengeres				Magyarországon négy szellőrózsa faj él. Viráguk a bogláros szellőrózsa kivételével fehér színű. Két védett fajuk is van, az erdei és a hármaslevelű szellőrózsa. Mintegy húsz cm magasra megnövő, kora tavaszi geofiton növényünk. Kedves fehér virágai olyanok, mintha a téli hóból maradt volna néhány folt az avaron. Levelei három-ötszörösen összetettek, a levélkék tagoltak, fűrészes szélűek. Levelei a virágzást követően fejlődnek ki teljesen. Virágai általában magányosak, ritkán kettesével nyílnak a levelek fölött  a szár csúcsán . A virágzás elején bókolnak, majd felállóak. A fehér szirmok száma általában hat (ami inkább a egyszikűekre jellemző. Termése aszmag. Üde erdők, patakpartok virága.											
Betyárkóró	Conyza canadensis	buga	lándzsás	ép	ülő	fészek	fehér	hengeres				 Magyarországon (és másutt is) egyre nagyobb teret hódítanak meg a különböző özönnövények. Ezek nem őshonosak, hanem különböző úton kerültek új élhelyeikre, ahol tömegesen fordulnak elő. A betyárkóró a „barátságosabb vendégek” közé tartozik, mert bár gyorsan szaporodik, közel sem olyan veszélyes, mint a sok ember életét megkeserítő parlagfű, vagy az agresszívan terjedő selyemkóró. Amerikából származik. Vékony szárát dúsan borítják a keskeny-lándzsás levelei. Fehér színű, apró fészkes virágai jókora bugákban nyílnak. Termése kaszat. Parlagokon, szántókon, bolygatott területeken telepszik meg, és sok apró magjával gyorsan terjed. Utak szélén, erdőszéleken is találkozhatunk vele.											
Bibircses kecskerágó	Euonymus verrucosus	magányos	lándzsás	fűrészes	nyeles		barna		sima	zöld	tok	Hazánk erdőiben aránylag gyakran előforduló cserjefajok a kecskerágók. Egyes fajokat kertekbe is ültetnek, de arra figyeljünk, hogy egyes részeik mérgezőek! Néhány méter magasra megnövő, vékony ágú cserje. Zöld színű hajtásain sok apró, barna paraszemölcs van, melyeken gázcserenyílások vannak. Lándzsa alakú levelei kb. 1 cm nagyok, fél cm szélesek, fűrészes szélűek, nyelesek. Ősszel narancsvörösre színeződnek. Rügyei zöldek, átellenes állásúak. Virágai négy tagúak, kicsik, barnás-vagy húsvörösek. A termés négyélű tok, mely rózsaszínű. A fényes fekete magok kilógnak a narancssárga magköpeny alól. Mérgező!											
Bibircses nyír	Betula pendula	barka	háromszögletes	fűrészes	nyeles		sárga		repedezett	fehér	makkocska	Európa nagy részén megtalálható pionír jellegű fafaj, hazánkban nem alkot erdőállományt. Nagy fényigényű, az árnyalást nehezen tűrő fafaj. Termőhelyi igényét tekintve rendkívül nagy tűrőképességű, jól bírja az éghajlati szélsőségeket, kedveli a savanyú talajtípusokat. A jó tűrőképesség és a nagy terméshozam miatt ez az egyik első fafaj amellyel egy pionír erdőben találkozhatunk. Kérge sokáig vékony fehér színű, majd idősebb korban megvastagszik, mélyen repedezetté válik. Levele háromszögletű, vagy ritkábban széles tojásdad alakú. A levél széle kétszeresen fűrészes. Virága a mogyoróéhoz hasonlóan lecsüngő barkavirágzat, színe sárga, vagy ritkábban sárga-vörös árnyalatú. Termése repítőkészülékkel ellátott makkocska. Bár fája értékes, a hazai erdőgazdaságoknak nem jelent túl nagy bevételi forrást, mivel aránylag kevés van belőle. Kertészeti felhasználás</span>Szép kérge és lecsüngő hajtásai miatt kiskertekben is gyakran ültetett fafaj. Többféle nemesített változata is létezik, ezek közül a Betula pendula „Youngii” és Betula pendula „Tristis” az elterjedt.											
Bíboribolya nőszőfű	Epipactis purpurata	fürt	lándzsás	ép	ülő	kosbor	rózsaszín	hengeres				Orchideákkal nemcsak a virágüzletek polcain találkozhatunk, nemcsak a trópusi esőerdőkben élnek, hanem Hazánkban is előfordulnak, méghozzá igen szép számban. A nőszőfüveknek 16 faja él Magyarországon. 15-35 cm magasra nő meg. Vékony szára felálló, nem ágazik el. Levelei szélesebb lándzsa alakúak vagy tojásdadok, ép szélűek, párhuzamos erezetük erőteljesen látszik. Enyhén vöröses színűek, fényes felületűek, ülőek. Virágai karcsú fürtben nyílnak, a külső lepelkör tagjai zöldek, a belsők fehérek vagy halványzöldek, a mézajak halvány rózsaszín, lilás, belseje sötétebb vörösesbarna. A kosborfélék virágainak legjellegzetesebb része a mézajak, mely alakjával, színével a megporzó rovarokat csalogatja. Termése tok, magja lisztfinomságú, csekély tartaléktápanyag-tartalma miatt mikorhizzás kapcsolatban él bizonyos gombafajokkal. Hazánkban minden kosborfaj védet. A bíboribolya nőszőfű eszmei értéke 10 000 forint. 											
Bíbor nebáncsvirág	Impatiens glandulifera	fürt	lándzsás	fűrészes	nyeles	egyedi*	rózsaszín	hengeres				A nebáncsvirág, vagy másik nevén nenyúljhozzám nem véletlenül kapta nevét: karcsú termései a legkisebb érintésre is hevesen reagálnak, és messzire lövik szét fekete magjaikat.  Hazánkban az invazív fajok közé sorolják (olyan özönnövények, amik tömeges elterjedésükkel veszélyeztetik az őshonos fajokat). Akár két méteres magasságot is elérhet, vaskos szára üvegesen áttetsző, a szárcsomók miatt dudoros. Levelei tojásdadok vagy lándzsásak, szélük durván fűrészes. Virágai nagyok, 3-5 cm-esek, bíborrózsaszínűek. Vékony, hosszú kocsányon lógnak, fürtöt alkotva. Sarkantyújuk rövid. Termése bordázott, vége felé szélesedő  tok, apró fekete magok tucatjait rejti. Érintésre reagál, ekkor a külső burok hirtelen felgöngyölődik, és szétspricceli  a magokat. Patakok partján, magas kórósokban, vizenyős helyeken egyre jobban terjed.											
Bíboros kosbor	Orchis purpurea	füzér	visszás lándzsás	ép	tőálló	kosbor	fehér	bordás				Nagy termetű, igen dekoratív kosbor faj, hazánkban elég gyakori. Több  kosborfajjal (vitéz, majom kosbor) alkothat hibridet. Inkább meszes talajokon találkozhatunk vele. 30-60 cm-re nő meg, de akár a 80 cm-es magasságot is elérheti. Szára egyenes, felálló, 1-2 világoszöld, keskeny szálas-lándzsás szárölelő levéllel. A szár bíborral futtatott lehet. 3-6 tőlevele 2-7 cm széles, fénylő. Virágzata dús, tömött, 25-150 tagú fürt. Virága 1-1,5 cm nagyságú. A mézajak mélyen három karéjú, a két szélső keskenyebb, a középső szélesebb ezeknél, további két karéjra hasadt, apró vörösesbarna szőrpamacsokkal pettyezett. A sisakká összeboruló leplek barnák, bíborvörösek. Sarkantyúja rövid, lefelé áll, vége kiszélesedik. Május-június folyamán virágzik karsztbokorerdőkben, tölgyesekben, erdőszéleken, ligetekben. Termése sokmagvú tok. Védett természetvédelmi értéke: 10 000 Ft.											
Bóbitás küllőrojt	Erigeron acer	sátorozó	szálas	ép	ülő	fészek	lila	hengeres				Vesszőcskefűnek is hívják, valószínűleg elágazó, gally-szerű szára miatt. 10-40 cm magasra növő, karcsú termetű, vékony, merev, szőrös, felső részén dúsan elágazó, vöröses szárú faj. Tőlevelei valamivel nagyobbak a szárleveleknél, elliptikusak, nyelesek. A szárlevelek szálasak, szórtan állnak, ülők, ép szélűek, szőrösek. Virágai érdekes megjelenésűek, első ránézésre úgy festenek, mintha már elvirágoztak volna. Henger alakúak, 1-2 cm nagyok. A csöves virágok sárgásak, jóval rövidebbek, mint a kékeslila nyelves virágok, melyek nem nyílnak ki úgy, mint például  a margitvirág. Termése szőrbóbitás kaszat. Június-augusztusban virágzik száraz réteken, parlagokon. 											
Bodzalevelű macskagyökér	Valeriana sambucifolia	ernyő	szárnyalt	fűrészes	ülő	5 tagú	fehér	hengeres				A Bodzalevelű macskagyökeret egyesek az orvosi macskagyökér alfajának tekintik. Ez a növény egy valeriánsav nevű vegyületet tartalmaz, mely erős illatával izgalomba hozza a kandúr macskákat.  Hengeres szára egy méternél is magasabb lehet. Levelei páratlanul szárnyaltak, hasonlóan az orvosi macskagyökérhez, de a levélkék alakja eltérő. A bodzalevelű macskagyökér levélkéi valóban a fekete bodzához hasonlít: a levélkék lándzsásak, közepükön a legszélesebbek, csúcsuk hegyes, szélük fűrészes. Rövid nyéllel kapcsolódnak a szárhoz, melyen keresztben átellenesen állnak. A virágok halvány rózsaszínűek vagy fehérek, aprók, öt tagúak, forrt szirmúak, a sárga porzó kilóg a szirmok közül. Kaszat termése van. Árnyas, üde erdőkben virágzik május-júniusban. Védett, eszmei értéke 10 000 forint.											
